standard_bangla,dialect_v1,dialect_v2,dialect_v3,dialect_v4,dialect_v5,dialect
তুমি কি নাশপাতি খাবে ,তুঁই নাশপাতি খাইবা না,তুই কি নাশপাতি হবি,তুঁই নাশপাতি খাইবা না যে,তুই কি নাশপাতি হবি,তুঁই নাশপাতি খাইবা না যে,chattogram
সে একটি পাকা আম কিনলো,ইতে উজ্ঞা পওনা আম কিনের,হেয় একখান পাগা আম কিনল,উঁইতে উজ্ঞা পওনা আম কিনের যে,উঁইতে উজ্ঞা পওনা আম কিনের যে,ইতে উজ্ঞা পওনা আম কিনের,chattogram
আমার মা খেজুর এনেছেন,আঁ মা খাজুর আইন্নে,আর মা খেজুর আন‍ছেন,আঁ মা খাজুর আইন্নেই যে,আঁ মা খাজুর আইন্নে,আর মা খেজুর আন‍ছেন,chattogram
তারা জামরুল খাচ্ছে,ইতেরা জামরুল খার,হেরা জামরুল খাদ্দে,ইঁতেরা জামরুল খার যে,হেরা জামরুল খাদ্দে,ইঁতেরা জামরুল খার যে,chattogram
সে আঙুরের রস তৈরি করছে,ইতে আংগুরর শবরত বানার,হেয় আঙ্গুরর রস বানাইদ্দে,উঁইতে আংগুরর শবরত বানার যে,উঁইতে আংগুরর শবরত বানার যে,ইতে আংগুরর শবরত বানার,chattogram
শিক্ষক আপেল খাচ্ছেন,মাস্টার আপেল খার,মাস্টার সাব আপেল খাদ্দে,মাস্টর আপেল খার যে,মাস্টার আপেল খার,মাস্টার সাব আপেল খাদ্দে,chattogram
বাচ্চারা জাম্বুরা খাচ্ছে,গুড়াপোয়া অল জাম্বুরা খার,হুরো পোলাপাইন জাম্বুরা খাদ্দে,তুই কি নাশপাতি হবি,হুরো পোলাপাইন জাম্বুরা খাদ্দে,তুই কি নাশপাতি হবি,chattogram
আমি মাল্টা খাচ্ছি,আঁই মাল্টা খাইরদ্দে,আই মাল্টা খাদ্দে,হেয় একখান পাগা আম কিনল,হেয় একখান পাগা আম কিনল,আঁই মাল্টা খাইরদ্দে,chattogram
গোলাপ খুব সুন্দর ফুল,গোলাম বউত সুন্দর ফুল,গোলাপ বত সুন্দর ফুল,আর মা খেজুর আন‍ছেন,গোলাম বউত সুন্দর ফুল,গোলাপ বত সুন্দর ফুল,chattogram
সে গাঁদা ফুল তুলছে,ইতে গেদা ফুল তুলের,হেয় গাঁদা ফুল তুল‍দ্দে,হেরা জামরুল খাদ্দে,হেয় গাঁদা ফুল তুল‍দ্দে,হেরা জামরুল খাদ্দে,chattogram
আমার বোন শাপলা পছন্দ করে,আঁর বোইন শাপলা পছন্দ গরে,আর বইন শাপলা পছন্দ গরে,হেয় আঙ্গুরর রস বানাইদ্দে,হেয় আঙ্গুরর রস বানাইদ্দে,আঁর বোইন শাপলা পছন্দ গরে,chattogram
তোমার মা কি বেলি ফুল এনেছেন ,তোঁয়ার মা বেলি ফুল আইন্নে,তোর মা কি বেলি ফুল আন‍ছেন,মাস্টার সাব আপেল খাদ্দে,তোঁয়ার মা বেলি ফুল আইন্নে,তোর মা কি বেলি ফুল আন‍ছেন,chattogram
আমরা আজ রজনীগন্ধা কিনবো,আঁরা রজনীগন্ধা কিন্নুম,আঁরা আজ রজনীগন্ধা কিন‍ুম,আঁরা রজনীগন্ধা কিন্নুম যে,আঁরা আজ রজনীগন্ধা কিন‍ুম,আঁরা রজনীগন্ধা কিন্নুম যে,chattogram
তারা সূর্যমুখী ফুল দেখছে,ইতে সুইজ্জমুখী ফুল দেখের,হেরা সূর্যমুখী ফুল চাদ্দে,উঁইতে সুইজ্জমুখী ফুল দেখের যে,উঁইতে সুইজ্জমুখী ফুল দেখের যে,ইতে সুইজ্জমুখী ফুল দেখের,chattogram
পদ্ম ফুল পুকুরে ফোটে,পদ্ম ফুল পইরত ফুডে,পদ্ম ফুল পুকুরোত ফুটে,পদ্ম ফুল পইরত ফুডে যে,পদ্ম ফুল পইরত ফুডে,পদ্ম ফুল পুকুরোত ফুটে,chattogram
মেয়েটি জুঁই ফুল ভালোবাসে,মাইয়ে ওয়া জুই ভুল গম পায়,মাইয়্যে জুঁই ফুল ভালোবাসে,মাইয়া অউয়া জুই ফুল গম পায় যে,মাইয়্যে জুঁই ফুল ভালোবাসে,মাইয়া অউয়া জুই ফুল গম পায় যে,chattogram
দোকানদার চন্দ্রমল্লিকা বিক্রি করছে,দোয়ানদার চন্দ্রমল্লিকা বেচের,দোকানদার চন্দ্রমল্লিকা বেচ্চের,দোয়ানদার চন্দ্রমল্লিকা বেচের যে,দোয়ানদার চন্দ্রমল্লিকা বেচের যে,দোয়ানদার চন্দ্রমল্লিকা বেচের,chattogram
আমি জবা ফুল দেখছি,আঁই জবা ফুল চাইর,আই জবা ফুল চাদ্দে,আঁই জবা ফুল চাইর যে,আঁই জবা ফুল চাইর,আই জবা ফুল চাদ্দে,chattogram
তিনি হাসনাহেনা এনেছেন,উইতে হাসসাগেনা আইন্নে,তেঁই হাসনাহেনা আন‍ছেন,উঁইতে হাসসাগেনা আইন্নেই যে,তেঁই হাসনাহেনা আন‍ছেন,উঁইতে হাসসাগেনা আইন্নেই যে,chattogram
তারা কদম ফুল দেখছে,ইতেরা কদম ফুল দেখের,হেরা কদম ফুল চাদ্দে,ইঁতেরা কদম ফুল দেখের যে,ইঁতেরা কদম ফুল দেখের যে,ইতেরা কদম ফুল দেখের,chattogram
করিম টগর ফুল পছন্দ করে,করিম টগর ফুল পছন্দ গরে,করিম টগর ফুল পছন্দ গরে,করিম টগর ফুল পছন্দ গরে যে,করিম টগর ফুল পছন্দ গরে,করিম টগর ফুল পছন্দ গরে,chattogram
সে ডালিয়া ফুলের ছবি তুলছে,ইতে ডালিয়া ফুলর ছবি তুলের,হেয় ডালিয়া ফুলর ছবি তুল‍দ্দে,উঁইতে ডালিয়া ফুলর ছবি তুলের যে,হেয় ডালিয়া ফুলর ছবি তুল‍দ্দে,উঁইতে ডালিয়া ফুলর ছবি তুলের যে,chattogram
তুমি কি শিউলি ফুল দেখেছো ,তুঁই শিউলি ফুল দেইক্কনা,তুই কি শিউলি ফুল দেখ‍ছোছ,তুঁই শিউলি ফুল দেইক্কু না যে,তুঁই শিউলি ফুল দেইক্কু না যে,তুঁই শিউলি ফুল দেইক্কনা,chattogram
সে একটি লাল গোলাপ কিনলো,ইতে উজ্ঞা লাল মিক্কে গোলাপ কিন্নে,হেয় একখান লাল গোলাপ কিনল,উঁইতে উজ্ঞা লাল মিক্কে গোলাপ কিন্নে যে,ইতে উজ্ঞা লাল মিক্কে গোলাপ কিন্নে,হেয় একখান লাল গোলাপ কিনল,chattogram
আমার মা কৃষ্ণচূড়া ফুলের ছবি তুলেছেন,আঁর মা কৃস্নচুড়ো ফুলর ছবি তুইল্লে,আর মা কৃষ্ণচূড়ার ফুলর ছবি তুল‍ছেন,আঁর মা কৃষ্ণচুড়ো ফুলর ছবি তুইল্লেই যে,আর মা কৃষ্ণচূড়ার ফুলর ছবি তুল‍ছেন,আঁর মা কৃষ্ণচুড়ো ফুলর ছবি তুইল্লেই যে,chattogram
তারা অপরাজিতা ফুল দেখছে,ইতেরা অপরাজিতা ফুল দেখের,হেরা অপরাজিতার ফুল চাদ্দে,ইঁতেরা অপরাজিতা ফুল দেখের যে,ইঁতেরা অপরাজিতা ফুল দেখের যে,ইতেরা অপরাজিতা ফুল দেখের,chattogram
সে ফুলের মালা তৈরি করছে,ইতে ফুলর মালা বানার,হেয় ফুলর মালা বানাইদ্দে,উঁইতে ফুলর মালা বানার যে,ইতে ফুলর মালা বানার,হেয় ফুলর মালা বানাইদ্দে,chattogram
শিক্ষক জারবেরা ফুল পছন্দ করেন,মাস্টর জারবেরা ফুল পছন্দ গরে,মাস্টার সাব জারবেরার ফুল পছন্দ করেন,মাস্টর জারবেরা ফুল পছন্দ গরে যে,মাস্টার সাব জারবেরার ফুল পছন্দ করেন,মাস্টর জারবেরা ফুল পছন্দ গরে যে,chattogram
বাচ্চারা দোলনচাঁপা ফুল দেখছে,গুড়াপোয়া অল দোলনচাঁপা ফুল দেখের,হুরো পোলাপাইন দোলনচাঁপার ফুল চাদ্দে,গুড়াপোয়া অল দোলনচাঁপা ফুল দেখের যে,গুড়াপোয়া অল দোলনচাঁপা ফুল দেখের যে,গুড়াপোয়া অল দোলনচাঁপা ফুল দেখের,chattogram
তিনি কাঠগোলাপের সুগন্ধ নিচ্ছেন,ইউতে কাঠগোলাপর গন্ধ শুকের,তেঁই কাঠগোলাপর গন্ধ লইয়েন,উঁইতে কাঠগোলাপর গন্ধ শুকের যে,ইউতে কাঠগোলাপর গন্ধ শুকের,তেঁই কাঠগোলাপর গন্ধ লইয়েন,chattogram
আমি স্থলপদ্ম দেখছি,আঁই স্থলপদ্ম দেখতে র,আই স্থলপদ্ম চাদ্দে,আঁই স্থলপদ্ম দেখতে র যে,আই স্থলপদ্ম চাদ্দে,আঁই স্থলপদ্ম দেখতে র যে,chattogram
রিকশাটা খুব আস্তে চলছে,রিক্সাওয়া ঝিমায় ঝিমায় চলের,রিকশা ইয়ান বত আস্তে চল‍দ্দে,রিক্সাওয়া ঝিমায় ঝিমায় চলের যে,রিক্সাওয়া ঝিমায় ঝিমায় চলের যে,রিক্সাওয়া ঝিমায় ঝিমায় চলের,chattogram
সে বাসে করে ঢাকা যাবে,ইতে বাসত গরি ঢাকা যাইব,হেয় বাসে গরি ঢাকা যাইবো,উঁইতে বাসত গরি ঢাকা যাইব যে,ইতে বাসত গরি ঢাকা যাইব,হেয় বাসে গরি ঢাকা যাইবো,chattogram
আমার ভাই সিএনজি চালায়,আঁর বদ্দা সিএঞ্জি চালার,আর ভাই সিএনজি চালায়,আঁর বদ্দা সিএনজি চালার যে,আর ভাই সিএনজি চালায়,আঁর বদ্দা সিএনজি চালার যে,chattogram
তোমার বাবা কি মোটরসাইকেল ব্যবহার করেন ,তোঁয়ার বাবা কী হুন্ডা চালায়,তোর বাবা কি মটরসাইকেল চালায়,তোঁয়ার বাবা কী হুন্ডা চালায় না যে,তোঁয়ার বাবা কী হুন্ডা চালায় না যে,তোঁয়ার বাবা কী হুন্ডা চালায়,chattogram
তারা লোকাল ট্রেনে করে বাড়ি ফিরছে,ইতেরা লোকাল ট্রেনত গড়ি বাড়ি আইয়ের,হেরা লোকাল ট্রেইনোত গরি বাড়িত যাইয়ের,ইঁতেরা লোকাল ট্রেনত গড়ি বাড়ি আইয়ের যে,ইতেরা লোকাল ট্রেনত গড়ি বাড়ি আইয়ের,হেরা লোকাল ট্রেইনোত গরি বাড়িত যাইয়ের,chattogram
অটোটা খুব জোরে চলছে,অটোউয়া খুব জোরে টানের,অটো ইয়ান বত জোরে চলের,অটো ইয়ান বউত জোরে চলের যে,অটো ইয়ান বত জোরে চলের,অটো ইয়ান বউত জোরে চলের যে,chattogram
মেয়েটি টেম্পুতে করে কলেজে যায়,মাইয়া ওয়া টেম্পুত গড়ি কলেজত যায়,মাইয়্যে টেম্পু দি কলেজেরে যার,মাইয়্যে টেম্পু দি কলেজত যার যে,মাইয়্যে টেম্পু দি কলেজত যার যে,মাইয়া ওয়া টেম্পুত গড়ি কলেজত যায়,chattogram
দোকানদার ভ্যান গাড়িতে করে মাল আনছে,দোয়ান্দার ভেনর গরি মাল আনের,দোকানদার ভ্যান গাডিওত গরি মাল আনের,দোকানদার ভ্যান গাডিওত গরি মাল আনের যে,দোয়ান্দার ভেনর গরি মাল আনের,দোকানদার ভ্যান গাডিওত গরি মাল আনের,chattogram
আমি লঞ্চে করে বরিশাল যাবো,আঁই সাম্পানত গড়ি বরিশালত যাইয়ুম,আই লঞ্চোত গরি বরশাল যাইয়ুম,আঁই লঞ্চোত গরি বরশাল যাইয়ুম যে,আই লঞ্চোত গরি বরশাল যাইয়ুম,আঁই লঞ্চোত গরি বরশাল যাইয়ুম যে,chattogram
তিনি গরুর গাড়িতে করে গ্রামে যান,উইতে গরুর গাড়িত গড়ি গরি গ্রামর যায়,তেঁই গাইলগাড়িত গরি গ্রামোত যার,তেঁই গাইলগাড়িত গরি গ্রামত যার যে,তেঁই গাইলগাড়িত গরি গ্রামত যার যে,উইতে গরুর গাড়িত গড়ি গরি গ্রামর যায়,chattogram
তারা লেগুনাতে করে বাজারে যাচ্ছে,ইতেরা লেগুনাত গড়ি বাজারত যার,ইতারা লেগুনাত গরি বাজারোত যার,ইতারা লেগুনাত গরি বাজারত যার যে,ইতেরা লেগুনাত গড়ি বাজারত যার,ইতারা লেগুনাত গরি বাজারোত যার,chattogram
করিম প্যাডেল রিকশা চালায়,করিম পেডল রিকসা চালায়,করিম প্যাডেল রিকশা চালায়,করিম প্যাডেল রিকশা চালায় যে,করিম প্যাডেল রিকশা চালায়,করিম প্যাডেল রিকশা চালায় যে,chattogram
সে ট্রাক দিয়ে মাল পরিবহন করে,ইতে ট্রাকত গড়ি মাল টানে,ইতে ট্রাক দি মাল নিয়াজ্যা গরের,উঁইতে ট্রাক দি মাল নিয়াজ্যা গরের যে,উঁইতে ট্রাক দি মাল নিয়াজ্যা গরের যে,ইতে ট্রাকত গড়ি মাল টানে,chattogram
আমরা আজ রাতের ট্রেনে চট্টগ্রাম যাবো,আঁরা আইজ রাতিয়ে ট্রেনত গড়ি চিটাংত যাইউম,আঁরা আজ রাইতোত ট্রেইনোত চাটগাঁও যাইয়ুম,আঁরা আজ রাইতোত ট্রেইনোত চাটগাঁও যাইয়ুম যে,আঁরা আইজ রাতিয়ে ট্রেনত গড়ি চিটাংত যাইউম,আঁরা আজ রাইতোত ট্রেইনোত চাটগাঁও যাইয়ুম,chattogram
তুমি কি বাইসাইকেল চালাতে পারো ,তুঁই কি সাইকল চালাইত পারো না,তুই কি বাইসাইকেল চালাইত পারোস,তুই কি বাইসাইকেল চালাইত পারোস যে,তুই কি বাইসাইকেল চালাইত পারোস,তুই কি বাইসাইকেল চালাইত পারোস যে,chattogram
সে একটা প্রাইভেট কার কিনেছে,ইতে ইজ্ঞা গাড়ি কিন্নে,ইতে একখান নিজ্জের গাডি কিন্নে,উঁইতে একখান নিজ্জের গাডি কিন্নে যে,উঁইতে একখান নিজ্জের গাডি কিন্নে যে,ইতে ইজ্ঞা গাড়ি কিন্নে,chattogram
তারা স্টিমারে করে সুন্দরবন ঘুরতে যাচ্ছে,ইতেরা জাহাজত গরি সুন্দরবন আর,ইতারা স্টিমারে গরি সুন্দরবন ঘুর‍ত্তে যার,ইতারা স্টিমারে গরি সুন্দরবন ঘুর‍ত্তে যার যে,ইতেরা জাহাজত গরি সুন্দরবন আর,ইতারা স্টিমারে গরি সুন্দরবন ঘুর‍ত্তে যার,chattogram
সে ঠেলাগাড়ি দিয়ে জিনিসপত্র সরায়,ইতে ঠেলাগাড়ি দি মাল টানে,ইতে ঠেলাগাড়ি দি জিনিস সরায়,উঁইতে ঠেলাগাড়ি দি জিনিস সরায় যে,ইতে ঠেলাগাড়ি দি জিনিস সরায়,উঁইতে ঠেলাগাড়ি দি জিনিস সরায় যে,chattogram
শিক্ষক মাইক্রোবাসে করে স্কুলে যান,মাস্টর হাইসত গরি স্কুলত যার,মাস্টার সাব মাইক্রোবাসোত গরি স্কুলোত যার,মাস্টার সাব মাইক্রোবাসোত গরি স্কুলোত যার যে,মাস্টার সাব মাইক্রোবাসোত গরি স্কুলোত যার যে,মাস্টর হাইসত গরি স্কুলত যার,chattogram
বাচ্চারা স্কুল বাসে করে স্কুলে যায়,গুড়াপোয়া অল স্কুলর বাসে গরি স্কুলর যার,হুরো পোলাপাইন স্কুল বাসে গরি স্কুলোত যায়,হুরো পোলাপাইন স্কুল বাসে গরি স্কুলোত যায় যে,গুড়াপোয়া অল স্কুলর বাসে গরি স্কুলর যার,হুরো পোলাপাইন স্কুল বাসে গরি স্কুলোত যায়,chattogram
আমি মালবাহী ট্রলারে করে নদী পার হলাম,আঁই মালর ট্রলারত গড়ি খাল পার হইর,আই মালবাহী ট্রলারোত গরি নদী পার হইলাম,আঁই মালবাহী ট্রলারোত গরি নদী পার হইলাম যে,আই মালবাহী ট্রলারোত গরি নদী পার হইলাম,আঁই মালবাহী ট্রলারোত গরি নদী পার হইলাম যে,chattogram
সে বাজারে যাচ্ছে,ইতে বাজারত যার,ইতে বাজারোত যার,উঁইতে বাজারোত যার যে,উঁইতে বাজারোত যার যে,ইতে বাজারত যার,chattogram
আমার বোন স্কুলে পড়ে,আঁর বোইন স্কুলত পড়ে,আর বইন স্কুলোত ফডের,আঁর বইন স্কুলোত ফডের যে,আঁর বোইন স্কুলত পড়ে,আর বইন স্কুলোত ফডের,chattogram
তোমার বাবা কি হাসপাতালে গিয়েছিলেন ,তোঁয়ার বাবা মেডিকেলত গেইয়ে না,তোর বাবা কি হাসপাতালাত গেছিলে,তোর বাবা কি হাসপাতালাত গেছিলে যে,তোর বাবা কি হাসপাতালাত গেছিলে,তোর বাবা কি হাসপাতালাত গেছিলে যে,chattogram
আমরা আজ পার্কে ঘুরতে যাবো,আঁরা আজুয়া পারকত গুত্তি যাইউম,আঁরা আজ পার্কোত ঘুর‍ত্তে যাইয়ুম,আঁরা আজ পার্কোত ঘুর‍ত্তে যাইয়ুম যে,আঁরা আজ পার্কোত ঘুর‍ত্তে যাইয়ুম যে,আঁরা আজুয়া পারকত গুত্তি যাইউম,chattogram
তারা মসজিদে নামাজ পড়ছে,ইতেরা মসজিদত নামাজ পড়ের,ইতারা মসজিদোত নামাজ ফডের,ইতারা মসজিদোত নামাজ ফডের যে,ইতেরা মসজিদত নামাজ পড়ের,ইতারা মসজিদোত নামাজ ফডের,chattogram
আমি ডাকঘরে চিঠি পাঠাবো,আঁই পোষ্ট অফিষত চিডি পাঠাইয়ুম,আই ডাকঘরত চিঠি ফাইট্টুম,আঁই ডাকঘরত চিঠি ফাইট্টুম যে,আই ডাকঘরত চিঠি ফাইট্টুম,আঁই ডাকঘরত চিঠি ফাইট্টুম যে,chattogram
মেয়েটি কলেজে পড়ছে,মেয়ে উয়া কলেজত পড়ের,মাইয়্যে কলেজোত ফডের,মাইয়্যে কলেজোত ফডের যে,মাইয়্যে কলেজোত ফডের যে,মেয়ে উয়া কলেজত পড়ের,chattogram
দোকানদার দোকানে বসে আছে,দোয়ান্দার দোয়ানত বই আছে,দোকানদার দোকানত বই আছে,দোকানদার দোকানত বই আছে যে,দোয়ান্দার দোয়ানত বই আছে,দোকানদার দোকানত বই আছে,chattogram
তিনি ব্যাংকে টাকা জমা দিচ্ছেন,উইতে ব্যাংকত টেয়া জমা দের,তেঁই ব্যাংকোত টেহা জমা গইর‍ছেন,তেঁই ব্যাংকোত টেহা জমা গইর‍ছেন যে,তেঁই ব্যাংকোত টেহা জমা গইর‍ছেন,তেঁই ব্যাংকোত টেহা জমা গইর‍ছেন যে,chattogram
আমরা রেস্টুরেন্টে খেতে যাবো,আঁরা হোটেলত খাইতে যাইউম,আঁরা রেস্টুরেন্টোত হাইত যাইয়ুম,আঁরা রেস্টুরেন্টোত হাইত যাইয়ুম যে,আঁরা রেস্টুরেন্টোত হাইত যাইয়ুম যে,আঁরা হোটেলত খাইতে যাইউম,chattogram
করিম রেলস্টেশনে অপেক্ষা করছে,করিম ট্রেন স্টেশনত অপেক্ষা গরের,করিম রেল ইস্টিশনোত বই আছে,করিম রেল ইস্টিশনোত বই আছে যে,করিম ট্রেন স্টেশনত অপেক্ষা গরের,করিম রেল ইস্টিশনোত বই আছে,chattogram
তারা নদীর ধারে বসে আছে,ইতেরা দইজ্জার কুলত বই আছে,ইতারা নদী ধারোত বই আছে,ইতারা নদী ধারোত বই আছে যে,ইতারা নদী ধারোত বই আছে,ইতারা নদী ধারোত বই আছে যে,chattogram
আমার মা রান্নাঘরে রান্না করছেন,আঁর মা পাকগরত রান্না গরের,আর মা রান্ধন ঘরোত রান্দেন,আঁর মা রান্ধন ঘরোত রান্দেন যে,আঁর মা রান্ধন ঘরোত রান্দেন যে,আঁর মা পাকগরত রান্না গরের,chattogram
সে খেলার মাঠে খেলছে,ইতে মাডত খেলের,ইতে খেলার মাঠোত খেলের,উঁইতে খেলার মাঠোত খেলের যে,ইতে মাডত খেলের,ইতে খেলার মাঠোত খেলের,chattogram
আমরা আজ চিড়িয়াখানায় যাবো,আঁরা আজুতা চিরিয়াখানাত যাইয়ুম,আঁরা আজ চিড়িয়াখানাত যাইয়ুম,আঁরা আজ চিড়িয়াখানাত যাইয়ুম যে,আঁরা আজ চিড়িয়াখানাত যাইয়ুম,আঁরা আজ চিড়িয়াখানাত যাইয়ুম যে,chattogram
তুমি কি লাইব্রেরিতে গিয়েছিলে ,তুঁই লাইব্রেরিত গেইলা না,তুই কি লাইব্রেরিত গেছিলি,তুই কি লাইব্রেরিত গেছিলি যে,তুই কি লাইব্রেরিত গেছিলি যে,তুঁই লাইব্রেরিত গেইলা না,chattogram
সে সিনেমা হলে সিনেমা দেখছে,ইতে সিনেমা হলত সিনেমা চার,ইতে ছিনেমা হলত ছিনেমা চার,উঁইতে ছিনেমা হলত ছিনেমা চার যে,ইতে সিনেমা হলত সিনেমা চার,ইতে ছিনেমা হলত ছিনেমা চার,chattogram
আমার দাদা বাড়িতে বিশ্রাম নিচ্ছেন,আঁর দাদা গরত রেস্ট গরের,আর দাদা বাড়িত আরাম গইর‍ছেন,আঁর দাদা বাড়িত আরাম গইর‍ছেন যে,আর দাদা বাড়িত আরাম গইর‍ছেন,আঁর দাদা বাড়িত আরাম গইর‍ছেন যে,chattogram
তারা বিশ্ববিদ্যালয়ে পড়ছে,ইতেরা ভারসিতিত পরের,ইতারা বিশ্ববিদ্যালয়োত ফডের,ইতারা বিশ্ববিদ্যালয়োত ফডের যে,ইতারা বিশ্ববিদ্যালয়োত ফডের যে,ইতেরা ভারসিতিত পরের,chattogram
সে ওষুধের দোকানে ওষুধ কিনছে,ইতে দোয়ানর তুন ওসুধ কিনের,ইতে ওষুধর দোকানত ওষুধ কিন্দের,উঁইতে ওষুধর দোকানত ওষুধ কিন্দের যে,ইতে দোয়ানর তুন ওসুধ কিনের,ইতে ওষুধর দোকানত ওষুধ কিন্দের,chattogram
শিক্ষক ক্লাসরুমে পড়াচ্ছেন,মাস্টর ক্লাসরুমত পড়ার,মাস্টার সাব ক্লাস রুমোত ফডার,মাস্টার সাব ক্লাস রুমোত ফডার যে,মাস্টার সাব ক্লাস রুমোত ফডার,মাস্টার সাব ক্লাস রুমোত ফডার যে,chattogram
বাচ্চারা খেলার মাঠে দৌড়াচ্ছে,গুড়াপোয়া অল মাডত দৌড়ার,হুরো পোলাপাইন খেলার মাঠোত দৌঁড়ায়,হুরো পোলাপাইন খেলার মাঠোত দৌঁড়ায় যে,হুরো পোলাপাইন খেলার মাঠোত দৌঁড়ায় যে,গুড়াপোয়া অল মাডত দৌড়ার,chattogram
তিনি মন্দিরে পূজা করছেন,উইতে মন্দিরত পূজা গড়ের,তেঁই মন্দিরোত পূজা গইর‍ছেন,তেঁই মন্দিরোত পূজা গইর‍ছেন যে,উইতে মন্দিরত পূজা গড়ের,তেঁই মন্দিরোত পূজা গইর‍ছেন,chattogram
আমি গ্রামে বেড়াতে যাবো,আঁই গ্রামর বাড়ি যাইউম,আই গ্রামোত বেড়াইতে যাইয়ুম,আঁই গ্রামোত বেড়াইতে যাইয়ুম যে,আই গ্রামোত বেড়াইতে যাইয়ুম,আঁই গ্রামোত বেড়াইতে যাইয়ুম যে,chattogram
বাঘ সুন্দরবনে বাস করে,বাঘ সুন্দর বনত থাকে,বাঘ সুন্দরবনোত থাহে,বাঘ সুন্দরবনোত থাহে যে,বাঘ সুন্দরবনোত থাহে যে,বাঘ সুন্দর বনত থাকে,chattogram
সে হাতি দেখছে,ইতে হাতি চার,ইতে হাতি চার,উঁইতে হাতি চার যে,ইতে হাতি চার,ইতে হাতি চার,chattogram
আমার বোন হরিণ পছন্দ করে,তোয়ার বোইন অরিন পছন্দ গড়ে,আর বইন হরিণ পছন্দ গরে,আঁর বইন হরিণ পছন্দ গরে যে,আর বইন হরিণ পছন্দ গরে,আঁর বইন হরিণ পছন্দ গরে যে,chattogram
তোমার বাবা কি বানর দেখেছেন ,তোঁয়ার বাবা বানর চার না,তোর বাবা কি বান্দর দেখ‍ছিলে,তোর বাবা কি বান্দর দেখ‍ছিলে যে,তোর বাবা কি বান্দর দেখ‍ছিলে যে,তোঁয়ার বাবা বানর চার না,chattogram
আমরা আজ শিয়াল দেখবো,আঁরা আজুয়া ইয়াল দেইক্কুম,আঁরা আজ শিয়াল চাইয়ুম,আঁরা আজ শিয়াল চাইয়ুম যে,আঁরা আজুয়া ইয়াল দেইক্কুম,আঁরা আজ শিয়াল চাইয়ুম,chattogram
তারা সাপ দেখছে,ইতেরা হাপ চার,ইতারা সাপ চার,ইতারা সাপ চার যে,ইতারা সাপ চার,ইতারা সাপ চার যে,chattogram
ভাল্লুক জঙ্গলে থাকে,ভল্লুক বনত থাকে,ভাল্লুক জঙ্গলোত থাহে,ভাল্লুক জঙ্গলোত থাহে যে,ভাল্লুক জঙ্গলোত থাহে যে,ভল্লুক বনত থাকে,chattogram
মেয়েটি কুমির দেখে ভয় পেয়েছে,মাইয়া ওয়া কুমিড় চাই এনা ডরাই গেইয়ে,মাইয়্যে কুমির দেহি ডরাইয়ে,মাইয়্যে কুমির দেহি ডরাইয়ে যে,মাইয়া ওয়া কুমিড় চাই এনা ডরাই গেইয়ে,মাইয়্যে কুমির দেহি ডরাইয়ে,chattogram
দোকানদার চিড়িয়াখানায় সিংহ দেখেছে,দোয়ান্দার চিরিতাখানাত সিংও চার,দোকানদার চিড়িয়াখানাত সিংহ দেহিছে,দোকানদার চিড়িয়াখানাত সিংহ দেহিছে যে,দোকানদার চিড়িয়াখানাত সিংহ দেহিছে,দোকানদার চিড়িয়াখানাত সিংহ দেহিছে যে,chattogram
আমি বন্য শুকর দেখেছি,আঁই বইন্য শুওর দেইক্কিলাম,আই বন্য শুকুর দেহিছি,আঁই বন্য শুকুর দেহিছি যে,আঁই বন্য শুকুর দেহিছি যে,আঁই বইন্য শুওর দেইক্কিলাম,chattogram
তিনি গন্ডার দেখেছেন,ইউতে গন্ডার চার,তেঁই গন্ডার দেহিছেন,তেঁই গন্ডার দেহিছেন যে,ইউতে গন্ডার চার,তেঁই গন্ডার দেহিছেন,chattogram
তারা নেকড়ে দেখছে,ইতেরা নেকড়ে দেখের,ইতারা নেকড়ে চার,ইতারা নেকড়ে চার যে,ইতারা নেকড়ে চার,ইতারা নেকড়ে চার যে,chattogram
করিম বনবিড়াল দেখেছে,করিম বনবিলাই চার,করিম বনবিড়াল দেহিছে,করিম বনবিড়াল দেহিছে যে,করিম বনবিড়াল দেহিছে যে,করিম বনবিলাই চার,chattogram
সে অজগর সাপের ছবি তুলছে,ইতে অজগর হাপ্র ছবি তুলের,ইতে অজগর সাপের ছবি তুলের,উঁইতে অজগর সাপের ছবি তুলের যে,ইতে অজগর হাপ্র ছবি তুলের,ইতে অজগর সাপের ছবি তুলের,chattogram
আমরা আজ চিতাবাঘ দেখবো,আঁরা আজুয়া চিতাবাগ দেইক্কুম,আঁরা আজ চিতাবাঘ চাইয়ুম,আঁরা আজ চিতাবাঘ চাইয়ুম যে,আঁরা আজ চিতাবাঘ চাইয়ুম,আঁরা আজ চিতাবাঘ চাইয়ুম যে,chattogram
তুমি কি বন্য কুকুর দেখেছো ,তুঁই বইন্য কুত্তো দেইক্ক না,তুই কি বন্য হুক্কুর দেখ‍ছোছ,তুই কি বন্য হুক্কুর দেখ‍ছোছ যে,তুই কি বন্য হুক্কুর দেখ‍ছোছ যে,তুঁই বইন্য কুত্তো দেইক্ক না,chattogram
